19980206    8151 S23E38   118  0060 HSX  02   02 A
19980206    8152 S20W58   214  0030 BXO  05   07 B
19980207    8151 S21E24   119  0030 HSX  02   01 A
19980207    8152 S22W71   214  0040 BXO  06   06 B
19980208    8151 S22E11   119  0040 HSX  02   01 A
19980208    8152 S21W86   216  0030 BXO  07   04 B
19980208    8153 S40E38   092  0010 BXO  03   02 B
19980209    8151 S22W02   118  0040 HRX  01   01 A
19980209    8153 S39E27   089  0020 BXO  04   02 B
19980209    8154 S24E29   087  0000 AXX  00   01 A
19980210    8151 S24W14   117  0050 HSX  02   01 A
19980210    8153 S39E16   087  0020 BXO  07   03 B
19980210    8154 S24E15   088  0000 AXX  00   01 A
19980210    8155 S14E05   098  0020 BXO  03   04 B
19980210    8156 S24E71   032  0020 BXO  04   03 B
19980211    8151 S24W26   116  0020 HSX  01   01 A
19980211    8153 S39E02   088  0000 AXX  00   01 A
19980211    8156 S24E57   033  0040 CSO  07   06 B
19980211    8157 N27E66   024  0010 BXO  03   03 B
19980211    8158 S19E77   013  0010 BXO  03   02 B
19980212    8151 S24W40   117  0000 AXX  01   01 A
19980212    8153 S39W13   090  0000 AXX  00   01 A
19980212    8156 S25E43   034  0210 DSO  09   11 B
19980212    8157 N27E54   023  0000 AXX  00   01 A
19980212    8158 S19E62   015  0010 BXO  03   03 B
19980213    8151 S24W52   116  0000 AXX  00   01 A
19980213    8156 S25E30   034  0300 EAI  11   16 B
19980213    8157 N26E41   023  0000 AXX  00   01 A
19980213    8158 S19E50   014  0010 BXO  04   04 B
19980214    8151 S24W67   117  0000 AXX  00   01 A
19980214    8156 S24E16   034  0360 EKI  11   29 B
19980214    8157 N28E28   022  0000 AXX  00   01 A
19980214    8158 S20E36   014  0020 CSO  04   04 B
19980214    8159 N33E41   009  0010 BXO  03   03 B
19980215    8151 S22W80   117  0000 AXX  00   01 A
19980215    8156 S25E04   033  0380 ESI  11   26 B
19980215    8158 S21E23   014  0010 BXO  05   04 B
19980215    8159 N30E29   008  0010 BXO  06   03 B
19980215    8160 N23E36   001  0010 BXO  03   02 B
19980216    8156 S25W09   033  0520 EKI  12   24 B
19980216    8158 S21E10   014  0020 CRO  05   05 B
19980216    8159 N32E13   011  0010 BXO  03   02 B
19980216    8160 N23E23   001  0020 CRO  05   05 B
19980216    8161 N25E54   330  0010 BXO  03   02 B
19980217    8156 S25W21   032  0480 EKI  12   24 B
19980217    8157 N22E11   000  0020 CRO  06   03 B
19980217    8158 S21W03   014  0010 BXO  06   03 B
19980217    8160 N22E11   000  0020 CRO  06   04 B
19980217    8161 N25E40   331  0010 AXX  00   01 A
19980218    8156 S25W34   032  0370 EHI  13   16 BG
19980218    8158 S22W14   012  0010 BXO  03   03 B
19980218    8160 N22W02   360  0010 BXO  06   03 B
19980218    8161 N26E27   331  0010 BXO  03   03 B
19980219    8156 S25W47   031  0380 EHI  12   10 B
19980219    8158 S21W29   013  0020 BXO  05   04 B
19980219    8160 N23W13   357  0010 BXO  04   02 B
19980219    8161 N26E19   325  0010 AXX  00   01 A
19980220    8156 S25W60   031  0360 EKO  12   09 BG
19980220    8161 N25E04   327  0000 AXX  00   01 A
19980221    8156 S25W72   030  0350 DKO  10   05 B
19980221    8162 S32E46   272  0010 BXO  03   03 B
19980222    8156 S25W89   034  0200 HSX  06   02 A
19980222    8158 S20W69   014  0010 BXO  04   02 B
19980222    8163 S22W28   333  0020 BXO  03   04 B
19980223    8158 S19W82   014  0070 CSO  05   05 B
19980223    8163 S23W42   334  0040 CRO  05   07 B
19980223    8164 N17E14   278  0020 BXO  04   04 B
19980223    8165 N29E53   239  0010 BXO  03   03 B
19980224    8163 S23W56   335  0020 BXO  07   04 B
19980224    8164 N16E01   278  0070 DAI  07   16 B
19980224    8165 N28E39   240  0010 BXO  04   02 B
19980224    8166 N22W25   304  0000 AXX  00   01 A
19980224    8167 S27E17   262  0010 BXO  04   05 B
19980225    8163 S21W71   336  0010 AXX  01   02 A
19980225    8164 N17W12   277  0130 DAO  08   19 B
19980225    8167 S26E04   261  0060 DAO  06   07 B
19980225    8168 N17W48   313  0000 AXX  00   01 A
19980226    8163 S21W84   336  0010 AXX  02   01 A
19980226    8164 N16W25   277  0120 DAI  08   18 B
19980226    8167 S26W09   261  0070 DAO  07   08 B
19980226    8168 N16W62   314  0000 AXX  00   02 A
19980227    8164 N17W37   276  0090 DAO  08   15 B
19980227    8167 S26W22   261  0030 CAO  07   09 B
19980227    8169 S19W44   283  0010 BXO  03   03 B
19980227    8170 N00E02   237  0000 AXX  00   01 A
19980227    8171 S24E05   234  0010 BXO  02   03 B
19980228    8164 N16W51   277  0030 CRO  07   05 B
19980228    8167 S26W33   260  0020 BXO  04   03 B
19980228    8169 S21W60   286  0020 BXO  06   04 B
19980228    8171 S24W10   236  0030 DRO  05   08 B
19980301    8164 N15W66   279  0060 CSO  06   04 B
19980301    8167 S26W45   258  0020 BXO  05   05 B
19980301    8169 S20W72   285  0070 CSO  07   05 B
19980301    8171 S23W23   236  0110 DSO  08   14 B
19980301    8172 N22E06   207  0020 BXO  04   04 B
19980301    8173 S17E71   142  0000 AXX  00   01 A
19980302    8164 N15W82   281  0020 AXX  01   01 A
19980302    8167 S25W56   255  0010 BXO  04   03 B
19980302    8169 S21W86   285  0060 CSO  11   05 B
19980302    8171 S23W36   235  0190 DSI  10   30 B
19980302    8172 N23W07   206  0010 BXO  06   05 B
19980302    8173 S17E57   142  0010 AXX  00   01 A
19980303    8171 S23W50   236  0300 EAI  12   24 B
19980303    8172 N23W22   208  0010 AXX  00   01 A
19980303    8173 S15E43   143  0000 AXX  00   01 A
19980304    8171 S24W62   235  0540 EKI  11   19 BG
19980304    8172 N22W35   208  0020 CRO  07   05 B
19980304    8173 S16E29   144  0000 AXX  00   01 A
19980305    8171 S24W75   235  0660 EKI  14   16 BG
19980305    8172 N22W49   209  0050 CRO  06   06 B
19980306    8171 S24W86   233  0340 DHO  10   05 B
19980306    8172 N23W63   210  0040 BXO  07   05 B
19980306    8173 S18E10   137  0010 BXO  02   02 B
19980306    8174 S17E50   097  0010 BXO  02   02 B
19980307    8172 N23W75   210  0030 BXO  08   05 B
19980307    8174 S17E37   098  0040 CRO  05   06 B
19980307    8175 N44E56   079  0010 AXX  01   02 A
19980307    8176 S43E66   069  0000 AXX  01   01 A
19980308    8174 S19E25   095  0050 CSO  07   08 B
19980308    8175 N45E46   074  0040 HAX  02   01 A
19980308    8176 S42E54   066  0030 BXO  06   06 B
19980308    8177 S33W21   141  0010 BXO  03   02 B
19980309    8174 S17E11   096  0050 DSO  08   09 B
19980309    8175 N47E33   074  0050 HSX  03   01 A
19980309    8176 S40E41   066  0050 CAO  09   07 B
19980310    8174 S18W01   095  0030 CSO  07   06 B
19980310    8175 N47E23   071  0030 HSX  01   01 A
19980310    8176 S39E29   065  0110 DAO  09   14 B
19980310    8178 S15E72   022  0100 HSX  04   01 A
19980310    8179 S22E60   034  0010 BXO  04   03 B
19980311    8174 S18W16   097  0030 CRO  05   05 B
19980311    8175 N47E12   069  0030 HRX  01   01 A
19980311    8176 S38E17   064  0140 EAO  11   21 B
19980311    8178 S16E59   022  0140 HSX  01   01 A
19980311    8179 S23E50   031  0030 CRO  09   05 B
19980312    8174 S17W31   099  0000 BXO  05   02 B
19980312    8175 N47E00   068  0020 HRX  01   01 A
19980312    8176 S40E05   063  0140 EAO  13   25 B
