20140117   11957 N12E48   277  0030 Cro  04   02 B
20140117   11958 S07E77   249  0010 Hax  02   01 A
20140118   11949 S15W61   012  0080 Hax  03   03 A
20140118   11952 S32W16   328  0050 Hax  02   01 A
20140118   11953 S17W79   030  0030 Cro  06   03 B
20140118   11954 N08W52   008  0010 Axx  00   01 A
20140118   11955 S14E36   279  0060 Hax  05   03 A
20140118   11957 N12E36   275  0030 Cro  06   07 B
20140118   11958 S08E63   248  0030 Hax  01   01 A
20140118   11959 S25E68   243  0070 Cao  02   03 B
20140118   11960 S14E77   235  0140 Hax  03   02 A
20140119   11949 S16W73   011  0090 Hax  02   02 A
20140119   11952 S32W29   327  0050 Hsx  02   02 A
20140119   11955 S14E23   276  0060 Hax  06   02 A
20140119   11957 N12E21   277  0030 Cri  08   09 B
20140119   11958 S08E50   248  0040 Hax  02   01 A
20140119   11959 S24E58   240  0110 Dai  07   04 B
20140119   11960 S14E62   236  0150 Hax  03   01 A
20140120   11949 S15W84   009  0020 Hax  04   02 A
20140120   11952 S32W42   327  0030 Hsx  02   01 A
20140120   11955 S14E09   276  0040 Hax  03   01 A
20140120   11957 N12E07   277  0030 Dro  08   08 B
20140120   11958 S07E36   249  0050 Cso  02   01 B
20140120   11959 S24E47   238  0190 Eai  11   07 BG
20140120   11960 S15E49   236  0200 Hax  03   01 A
20140120   11961 S12W34   320  0040 Dao  04   06 B
20140120   11962 S37E05   280  0020 Cro  05   03 B
20140121   11952 S32W52   325  0050 Hsx  02   01 A
20140121   11955 S14W04   277  0050 Hax  02   02 A
20140121   11957 N11W06   278  0060 Dai  08   12 BG
20140121   11958 S08E22   249  0050 Cso  03   04 B
20140121   11959 S24E33   239  0220 Eai  12   14 BG
20140121   11960 S15E36   236  0260 Hkx  03   02 A
20140121   11961 S12W48   321  0060 Dao  06   10 B
20140121   11963 S06E56   216  0060 Cso  07   04 B
20140121   11964 S13E52   220  0010 Bxo  04   02 B
20140122   11952 S31W66   325  0030 Hsx  02   01 A
20140122   11955 S13W17   277  0040 Cao  03   02 B
20140122   11957 N11W19   278  0090 Dai  07   14 BG
20140122   11958 S08E09   250  0030 Hax  02   02 A
20140122   11959 S23E20   238  0120 Eao  13   11 BG
